#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180 128
# Band-Index:    1
   2.89936    -56.536953  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.92862    -56.536477  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.95788    -56.535818  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.98714    -56.534976  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.01640    -56.533959  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.04566    -56.532773  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.07492    -56.531426  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.10419    -56.529931  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.13345    -56.528292  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.16271    -56.526522  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.19197    -56.524634  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.22123    -56.522640  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.25049    -56.520550  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.27975    -56.518384  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.30902    -56.516155  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.33828    -56.513878  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.36754    -56.511568  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.39680    -56.509239  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
