  #K-Path    Energy        Ti        Al        Ga
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    1.831  -56.9240     0.996     0.000     0.000
    1.831  -56.9240     0.996     0.000     0.000
    1.791  -56.9240     0.996     0.000     0.000
    1.751  -56.9239     0.996     0.000     0.000
    1.711  -56.9238     0.996     0.000     0.000
    1.671  -56.9236     0.994     0.000     0.000
    1.631  -56.9234     0.992     0.000     0.000
    1.591  -56.9231     0.992     0.000     0.000
    1.551  -56.9228     0.996     0.000     0.000
    1.512  -56.9225     0.996     0.000     0.000
    1.472  -56.9222     0.996     0.000     0.000
    1.432  -56.9219     0.992     0.000     0.000
    1.392  -56.9216     0.996     0.000     0.000
    1.352  -56.9213     0.996     0.000     0.000
    1.312  -56.9210     0.996     0.000     0.000
    1.272  -56.9207     0.992     0.000     0.000
    1.232  -56.9205     0.992     0.000     0.000
    1.192  -56.9204     0.996     0.000     0.000
    1.152  -56.9204     0.996     0.000     0.000
    1.112  -56.9204     0.996     0.000     0.000
    1.072  -56.9204     0.994     0.000     0.000
    1.072  -56.9204     0.996     0.000     0.000
    1.044  -56.9204     0.996     0.000     0.000
    1.016  -56.9205     0.994     0.000     0.000
    0.988  -56.9205     0.994     0.000     0.000
    0.960  -56.9205     0.994     0.000     0.000
    0.931  -56.9206     0.994     0.000     0.000
    0.903  -56.9206     0.994     0.000     0.000
    0.875  -56.9207     0.994     0.000     0.000
    0.847  -56.9208     0.996     0.000     0.000
    0.818  -56.9208     0.996     0.000     0.000
    0.790  -56.9209     0.996     0.000     0.000
    0.762  -56.9210     0.996     0.000     0.000
    0.734  -56.9211     0.994     0.000     0.000
    0.706  -56.9211     0.994     0.000     0.000
    0.677  -56.9212     0.994     0.000     0.000
    0.649  -56.9212     0.994     0.000     0.000
    0.621  -56.9213     0.994     0.000     0.000
    0.593  -56.9213     0.996     0.000     0.000
    0.564  -56.9213     0.996     0.000     0.000
    0.536  -56.9213     0.996     0.000     0.000
    0.536  -56.9213     0.996     0.000     0.000
    0.508  -56.9212     0.996     0.000     0.000
    0.480  -56.9214     0.996     0.000     0.000
    0.452  -56.9216     0.994     0.000     0.000
    0.423  -56.9218     0.992     0.000     0.000
    0.395  -56.9220     0.994     0.000     0.000
    0.367  -56.9222     0.996     0.000     0.000
    0.339  -56.9224     0.996     0.000     0.000
    0.310  -56.9226     0.994     0.000     0.000
    0.282  -56.9228     0.996     0.000     0.000
    0.254  -56.9230     0.994     0.000     0.000
    0.226  -56.9232     0.994     0.000     0.000
