  #K-Path    Energy        Ti        Ga        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    3.107  -56.5574     0.992     0.000     0.000
    3.078  -56.5589     0.992     0.000     0.000
    3.049  -56.5602     0.992     0.000     0.000
    3.020  -56.5614     0.992     0.000     0.000
    2.990  -56.5625     0.992     0.000     0.000
    2.961  -56.5633     0.992     0.000     0.000
    2.932  -56.5640     0.992     0.000     0.000
    2.902  -56.5645     0.992     0.000     0.000
    2.873  -56.5648     0.992     0.000     0.000
    2.844  -56.5648     0.992     0.000     0.000
    2.844  -56.5648     0.992     0.000     0.000
    2.815  -56.5670     0.992     0.000     0.000
    2.785  -56.5693     0.992     0.000     0.000
    2.756  -56.5717     0.992     0.000     0.000
    2.727  -56.5740     0.992     0.000     0.000
    2.697  -56.5762     0.992     0.000     0.000
    2.668  -56.5784     0.992     0.000     0.000
    2.639  -56.5804     0.992     0.000     0.000
    2.610  -56.5824     0.992     0.000     0.000
    2.580  -56.5842     0.992     0.000     0.000
    2.551  -56.5859     0.992     0.000     0.000
    2.522  -56.5874     0.992     0.000     0.000
    2.492  -56.5888     0.992     0.000     0.000
    2.463  -56.5900     0.992     0.000     0.000
    2.434  -56.5911     0.992     0.000     0.000
    2.405  -56.5919     0.992     0.000     0.000
    2.375  -56.5926     0.992     0.000     0.000
    2.346  -56.5931     0.992     0.000     0.000
    2.317  -56.5934     0.992     0.000     0.000
    2.287  -56.5935     0.992     0.000     0.000
    2.287  -56.5935     0.992     0.000     0.000
    2.267  -56.5935     0.992     0.000     0.000
    2.247  -56.5935     0.992     0.000     0.000
    2.226  -56.5934     0.992     0.000     0.000
    2.206  -56.5934     0.992     0.000     0.000
    2.185  -56.5934     0.992     0.000     0.000
    2.165  -56.5933     0.992     0.000     0.000
    2.145  -56.5933     0.992     0.000     0.000
    2.124  -56.5933     0.992     0.000     0.000
    2.104  -56.5933     0.992     0.000     0.000
    2.083  -56.5933     0.992     0.000     0.000
    2.063  -56.5933     0.992     0.000     0.000
    2.043  -56.5932     0.992     0.000     0.000
    2.022  -56.5932     0.992     0.000     0.000
    2.002  -56.5932     0.992     0.000     0.000
    1.982  -56.5932     0.992     0.000     0.000
    1.961  -56.5932     0.992     0.000     0.000
    1.941  -56.5932     0.992     0.000     0.000
    1.920  -56.5932     0.992     0.000     0.000
    1.900  -56.5932     0.992     0.000     0.000
    1.900  -56.5932     0.992     0.000     0.000
    1.859  -56.5930     0.992     0.000     0.000
    1.817  -56.5924     0.992     0.000     0.000
    1.776  -56.5914     0.992     0.000     0.000
    1.734  -56.5901     0.992     0.000     0.000
    1.693  -56.5883     0.992     0.000     0.000
    1.651  -56.5862     0.992     0.000     0.000
    1.610  -56.5838     0.992     0.000     0.000
    1.569  -56.5811     0.992     0.000     0.000
    1.527  -56.5780     0.992     0.000     0.000
    1.486  -56.5746     0.992     0.000     0.000
    1.444  -56.5710     0.992     0.000     0.000
    1.403  -56.5672     0.992     0.000     0.000
    1.362  -56.5631     0.992     0.000     0.000
    1.320  -56.5588     0.992     0.000     0.000
    1.279  -56.5544     0.992     0.000     0.000
    1.237  -56.5499     0.992     0.000     0.000
    1.196  -56.5453     0.992     0.000     0.000
    1.154  -56.5406     0.992     0.000     0.000
    1.113  -56.5365     0.992     0.000     0.000
    1.113  -56.5365     0.992     0.000     0.000
    1.084  -56.5386     0.992     0.000     0.000
    1.054  -56.5409     0.992     0.000     0.000
    1.025  -56.5432     0.992     0.000     0.000
    0.996  -56.5454     0.992     0.000     0.000
    0.967  -56.5476     0.992     0.000     0.000
    0.937  -56.5497     0.992     0.000     0.000
    0.908  -56.5517     0.992     0.000     0.000
    0.879  -56.5537     0.992     0.000     0.000
    0.849  -56.5554     0.992     0.000     0.000
    0.820  -56.5571     0.992     0.000     0.000
    0.791  -56.5586     0.992     0.000     0.000
    0.762  -56.5600     0.992     0.000     0.000
    0.732  -56.5612     0.992     0.000     0.000
    0.703  -56.5622     0.992     0.000     0.000
    0.674  -56.5630     0.992     0.000     0.000
    0.644  -56.5637     0.992     0.000     0.000
    0.615  -56.5642     0.992     0.000     0.000
    0.586  -56.5645     0.992     0.000     0.000
    0.556  -56.5646     0.992     0.000     0.000
    0.556  -56.5646     0.992     0.000     0.000
    0.527  -56.5667     0.992     0.000     0.000
    0.498  -56.5691     0.992     0.000     0.000
    0.469  -56.5714     0.992     0.000     0.000
    0.439  -56.5737     0.992     0.000     0.000
    0.410  -56.5759     0.992     0.000     0.000
    0.381  -56.5781     0.992     0.000     0.000
    0.351  -56.5801     0.992     0.000     0.000
    0.322  -56.5821     0.992     0.000     0.000
    0.293  -56.5839     0.992     0.000     0.000
    0.264  -56.5856     0.992     0.000     0.000
    0.234  -56.5871     0.992     0.000     0.000
    0.205  -56.5885     0.992     0.000     0.000
    0.176  -56.5897     0.992     0.000     0.000
    0.146  -56.5908     0.992     0.000     0.000
    0.117  -56.5916     0.992     0.000     0.000
    0.088  -56.5923     0.992     0.000     0.000
    0.059  -56.5928     0.992     0.000     0.000
    0.029  -56.5931     0.992     0.000     0.000
    0.000  -56.5932     0.992     0.000     0.000
 
# Band-Index:    3
    0.000  -56.5357     0.992     0.000     0.000
    0.029  -56.5358     0.992     0.000     0.000
    0.059  -56.5361     0.992     0.000     0.000
    0.088  -56.5366     0.992     0.000     0.000
    0.117  -56.5373     0.992     0.000     0.000
    0.146  -56.5381     0.992     0.000     0.000
