      #Energy        TDOS
     -38.76857      16.00345
     -38.69257      16.00345
     -38.61657      16.00345
     -38.53957      16.00345
     -38.46357      16.00345
     -38.38657      16.00345
     -38.31057      16.00345
     -38.23357      16.00345
     -38.15757      16.00345
     -38.08057      16.00345
     -38.00457      16.00345
     -37.92757      16.00345
     -37.85157      16.00345
     -37.77457      16.00345
     -37.69857      16.00345
     -37.62157      16.00345
     -37.54557      16.00345
     -37.46957      16.00345
     -37.39257      16.00345
     -37.31657      16.00345
     -37.23957      16.00345
     -37.16357      16.00345
     -37.08657      16.00345
     -37.01057      16.00345
     -36.93357      16.00345
     -36.85757      16.00345
     -36.78057      16.00345
     -36.70457      16.00345
     -36.62757      16.00345
     -36.55157      16.00345
     -36.47557      16.00345
     -36.39857      16.00345
     -36.32257      16.00345
     -36.24557      16.00345
     -36.16957      16.00345
     -36.09257      16.00345
     -36.01657      16.00345
     -35.93957      16.00345
     -35.86357      16.00345
     -35.78657      16.00345
     -35.71057      16.00345
     -35.63357      16.00345
     -35.55757      16.00345
     -35.48057      16.00345
     -35.40457      16.00345
     -35.32857      16.00345
     -35.25157      16.00345
     -35.17557      16.00345
     -35.09857      16.00345
     -35.02257      16.00345
     -34.94557      16.00345
     -34.86957      16.00345
     -34.79257      16.00345
     -34.71657      16.00345
     -34.63957      16.00345
     -34.56357      16.00345
     -34.48657      16.00345
     -34.41057      16.00345
     -34.33457      16.00345
     -34.25757      16.00345
     -34.18157      16.00345
     -34.10457      16.00345
     -34.02857      16.00345
     -33.95157      16.00345
     -33.87557      16.00345
     -33.79857      16.00345
     -33.72257      16.00345
     -33.64557      16.00345
     -33.56957      16.00345
     -33.49257      16.00345
     -33.41657      16.00345
     -33.34057      16.00325
     -33.26357      15.99380
     -33.18757      15.86808
     -33.11057      15.61337
     -33.03457      17.88378
     -32.95757      26.98300
     -32.88157      38.77757
     -32.80457      45.82410
     -32.72857      49.32845
     -32.65157      52.93908
     -32.57557      57.71158
     -32.49857      62.15452
     -32.42257      64.03404
     -32.34557      64.10959
     -32.26957      64.01292
     -32.19357      64.00054
     -32.11657      64.00014
     -32.04057      64.00013
     -31.96357      64.00013
     -31.88757      64.00013
     -31.81057      64.00013
     -31.73457      64.00013
     -31.65757      64.00013
     -31.58157      64.00013
     -31.50457      64.00013
     -31.42857      64.00013
     -31.35157      64.00013
     -31.27557      64.00013
     -31.19957      64.00013
     -31.12257      64.00013
     -31.04657      64.00013
     -30.96957      64.00013
     -30.89357      64.00013
     -30.81657      64.00013
     -30.74057      64.00013
     -30.66357      64.00013
     -30.58757      64.00013
     -30.51057      64.00013
     -30.43457      64.00013
     -30.35757      64.00013
     -30.28157      64.00013
     -30.20457      64.00013
     -30.12857      64.00013
     -30.05257      64.00013
     -29.97557      64.00013
     -29.89957      64.00013
     -29.82257      64.00013
     -29.74657      64.00013
     -29.66957      64.00013
     -29.59357      64.00013
     -29.51657      64.00013
     -29.44057      64.00013
     -29.36357      64.00013
     -29.28757      64.00013
     -29.21057      64.00013
     -29.13457      64.00013
     -29.05857      64.00013
     -28.98157      64.00013
     -28.90557      64.00013
     -28.82857      64.00013
     -28.75257      64.00013
     -28.67557      64.00013
     -28.59957      64.00013
     -28.52257      64.00013
     -28.44657      64.00013
     -28.36957      64.00013
     -28.29357      64.00013
     -28.21657      64.00013
     -28.14057      64.00013
     -28.06357      64.00013
     -27.98757      64.00013
     -27.91157      64.00013
     -27.83457      64.00013
     -27.75857      64.00013
     -27.68157      64.00013
     -27.60557      64.00013
     -27.52857      64.00013
     -27.45257      64.00013
     -27.37557      64.00013
     -27.29957      64.00013
     -27.22257      64.00013
     -27.14657      64.00013
     -27.06957      64.00013
     -26.99357      64.00013
     -26.91757      64.00013
     -26.84057      64.00013
     -26.76457      64.00013
     -26.68757      64.00013
     -26.61157      64.00013
     -26.53457      64.00013
     -26.45857      64.00013
     -26.38157      64.00013
     -26.30557      64.00013
     -26.22857      64.00013
     -26.15257      64.00013
     -26.07557      64.00013
     -25.99957      64.00013
     -25.92257      64.00013
     -25.84657      64.00013
     -25.77057      64.00013
     -25.69357      64.00013
     -25.61757      64.00013
     -25.54057      64.00013
     -25.46457      64.00013
     -25.38757      64.00013
     -25.31157      64.00013
     -25.23457      64.00013
     -25.15857      64.00013
     -25.08157      64.00013
     -25.00557      64.00013
     -24.92857      64.00013
     -24.85257      64.00013
     -24.77657      64.00013
     -24.69957      64.00013
     -24.62357      64.00013
     -24.54657      64.00013
     -24.47057      64.00013
     -24.39357      64.00013
     -24.31757      64.00013
     -24.24057      64.00013
     -24.16457      64.00013
     -24.08757      64.00013
     -24.01157      64.00013
     -23.93457      64.00013
     -23.85857      64.00013
     -23.78257      64.00013
     -23.70557      64.00013
     -23.62957      64.00013
     -23.55257      64.00013
     -23.47657      64.00013
     -23.39957      64.00013
     -23.32357      64.00013
     -23.24657      64.00013
     -23.17057      64.00013
     -23.09357      64.00013
     -23.01757      64.00013
     -22.94057      64.00013
     -22.86457      64.00013
     -22.78757      64.00013
     -22.71157      64.00013
     -22.63557      64.00013
     -22.55857      64.00013
     -22.48257      64.00013
     -22.40557      64.00013
     -22.32957      64.00013
     -22.25257      64.00013
     -22.17657      64.00013
     -22.09957      64.00013
     -22.02357      64.00013
     -21.94657      64.00013
     -21.87057      64.00013
     -21.79357      64.00013
     -21.71757      64.00013
     -21.64157      64.00013
     -21.56457      64.00013
     -21.48857      64.00013
     -21.41157      64.00013
     -21.33557      64.00013
     -21.25857      64.00013
     -21.18257      64.00013
     -21.10557      64.00013
     -21.02957      64.00013
     -20.95257      64.00013
     -20.87657      64.00013
     -20.79957      64.00013
     -20.72357      64.00013
     -20.64657      64.00013
     -20.57057      64.00013
     -20.49457      64.00013
     -20.41757      64.00013
     -20.34157      64.00013
     -20.26457      64.00013
     -20.18857      64.00013
     -20.11157      64.00013
     -20.03557      64.00013
     -19.95857      64.00013
     -19.88257      64.00013
     -19.80557      64.00013
     -19.72957      64.00013
     -19.65257      64.00013
     -19.57657      64.00013
     -19.50057      64.00013
     -19.42357      64.00013
     -19.34757      64.00013
     -19.27057      64.00013
     -19.19457      64.00013
     -19.11757      64.00013
     -19.04157      64.00013
     -18.96457      64.00013
     -18.88857      64.00013
     -18.81157      64.00013
     -18.73557      64.00013
     -18.65857      64.00013
     -18.58257      64.00013
     -18.50557      64.00013
     -18.42957      64.00013
     -18.35357      64.00013
     -18.27657      64.00013
     -18.20057      64.00013
     -18.12357      64.00013
     -18.04757      64.00013
     -17.97057      64.00013
     -17.89457      64.00013
     -17.81757      64.00013
     -17.74157      64.00013
     -17.66457      64.00013
     -17.58857      64.00013
     -17.51157      64.00013
     -17.43557      64.00013
     -17.35957      64.00013
     -17.28257      64.00013
     -17.20657      64.00013
     -17.12957      64.00013
     -17.05357      64.00013
     -16.97657      64.00013
     -16.90057      64.00013
     -16.82357      64.00013
     -16.74757      64.00013
     -16.67057      64.00013
     -16.59457      64.00013
     -16.51757      64.00013
     -16.44157      64.00013
     -16.36457      64.00013
     -16.28857      64.00013
     -16.21257      64.00013
     -16.13557      64.00013
     -16.05957      64.00013
     -15.98257      64.00013
     -15.90657      64.00013
     -15.82957      64.00013
     -15.75357      64.00013
     -15.67657      64.00013
     -15.60057      64.00013
     -15.52357      64.00013
     -15.44757      64.00013
     -15.37057      64.00013
     -15.29457      64.00013
     -15.21857      64.00013
     -15.14157      64.00013
     -15.06557      64.00013
     -14.98857      64.00013
     -14.91257      64.00013
     -14.83557      64.00013
     -14.75957      64.00012
     -14.68257      63.99886
     -14.60657      63.96977
     -14.52957      63.83029
     -14.45357      64.31163
     -14.37657      67.45086
     -14.30057      71.94694
     -14.22457      74.05184
     -14.14757      74.11515
     -14.07157      74.01190
     -13.99457      74.00007
     -13.91857      73.99972
     -13.84157      73.99972
     -13.76557      73.99972
     -13.68857      73.99972
     -13.61257      73.99972
     -13.53557      73.99972
     -13.45957      73.99972
     -13.38257      73.99972
     -13.30657      73.99972
     -13.22957      73.99972
     -13.15357      73.99972
     -13.07757      73.99972
     -13.00057      73.99972
     -12.92457      73.99972
     -12.84757      73.99972
     -12.77157      73.99972
     -12.69457      73.99972
     -12.61857      73.99972
     -12.54157      73.99972
     -12.46557      73.99972
     -12.38857      73.99972
     -12.31257      73.99972
     -12.23557      73.99972
     -12.15957      73.99972
     -12.08357      73.99972
     -12.00657      73.99972
     -11.93057      73.99972
     -11.85357      73.99972
     -11.77757      73.99972
     -11.70057      73.99972
     -11.62457      73.99972
     -11.54757      73.99972
     -11.47157      73.99972
     -11.39457      73.99972
     -11.31857      73.99972
     -11.24157      73.99972
     -11.16557      73.99972
     -11.08857      73.99972
     -11.01257      73.99972
     -10.93657      73.99972
     -10.85957      73.99972
     -10.78357      73.99972
     -10.70657      73.99972
     -10.63057      73.99972
     -10.55357      73.99972
     -10.47757      73.99972
     -10.40057      73.99972
     -10.32457      73.99972
     -10.24757      73.99972
     -10.17157      73.99972
     -10.09457      73.99972
     -10.01857      73.99972
      -9.94257      73.99972
      -9.86557      73.99972
      -9.78957      73.99972
      -9.71257      73.99972
      -9.63657      73.99972
      -9.55957      73.99972
      -9.48357      73.99972
      -9.40657      73.99968
      -9.33057      73.99942
      -9.25357      73.99969
      -9.17757      74.00304
      -9.10057      74.01688
      -9.02457      74.05267
      -8.94757      74.11679
      -8.87157      74.20530
      -8.79557      74.29381
      -8.71857      74.36633
      -8.64257      74.43235
      -8.56557      74.52540
      -8.48957      74.67340
      -8.41257      74.84265
      -8.33657      74.99210
      -8.25957      75.10045
      -8.18357      75.19981
      -8.10657      75.32369
      -8.03057      75.46805
      -7.95357      75.65118
      -7.87757      75.87124
      -7.80157      76.10048
      -7.72457      76.28442
      -7.64857      76.44568
      -7.57157      76.67901
      -7.49557      76.96609
      -7.41857      77.19025
      -7.34257      77.33190
      -7.26557      77.51308
      -7.18957      77.77218
      -7.11257      77.97515
      -7.03657      78.08308
      -6.95957      78.22439
      -6.88357      78.48257
      -6.80657      78.83529
      -6.73057      79.14899
      -6.65457      79.36500
      -6.57757      79.58128
      -6.50157      79.83720
      -6.42457      80.06938
      -6.34857      80.26047
      -6.27157      80.45805
      -6.19557      80.66879
      -6.11857      80.86683
      -6.04257      81.06686
      -5.96557      81.37031
      -5.88957      81.77182
      -5.81257      82.10015
      -5.73657      82.32110
      -5.66057      82.47949
      -5.58357      82.60646
      -5.50757      82.80068
      -5.43057      83.16178
      -5.35457      83.63096
      -5.27757      84.00132
      -5.20157      84.22421
      -5.12457      84.42313
      -5.04857      84.72918
      -4.97157      85.10542
      -4.89557      85.39506
      -4.81857      85.60874
      -4.74257      85.79868
      -4.66657      86.02463
      -4.58957      86.43903
      -4.51357      86.96059
      -4.43657      87.35709
      -4.36057      87.62777
      -4.28357      87.91776
      -4.20757      88.26032
      -4.13057      88.55341
      -4.05457      88.77187
      -3.97757      89.01877
      -3.90157      89.39379
      -3.82457      89.84542
      -3.74857      90.15720
      -3.67157      90.31334
      -3.59557      90.52947
      -3.51957      90.86553
      -3.44257      91.23187
      -3.36657      91.57465
      -3.28957      91.92104
      -3.21357      92.29712
      -3.13657      92.76684
      -3.06057      93.36169
      -2.98357      93.94928
      -2.90757      94.38952
      -2.83057      94.75231
      -2.75457      95.29952
      -2.67757      96.02038
      -2.60157      96.60606
      -2.52557      96.96296
      -2.44857      97.39150
      -2.37257      98.11309
      -2.29557      98.95534
      -2.21957      99.79147
      -2.14257     100.57940
      -2.06657     101.34171
      -1.98957     102.27189
      -1.91357     103.31945
      -1.83657     104.25307
      -1.76057     105.18211
